category	id	progress	weight	title	acceptance	dependencies
Reference contract	REF-01	25	2	Inventory every baseline tool and upgrade	Verified manifest records every base-game item, variant, acquisition path, cost and owning implementation task; excludes fan fiction and expansion-only entries.	
Reference contract	REF-02	50	1	Inventory badges, ranks and achievements	Every baseline family and unlock edge has an explicit source, counting rule and retained/adapted decision.	
Reference contract	REF-03	25	1	Inventory encounters, civilizations and endgame	Every baseline mission/event/civilization/endgame class maps to an implementation task.	
Reference contract	REF-04	50	1	Record reference interaction contracts	Surface, system, galaxy, contact, shop, collections and menu behavior have annotated reference evidence.	
Reference contract	REF-05	75	1	Record scope exceptions and deferred creation tools	Gopher adaptation, original IP, Marks, inventory packs and editor/expansion exclusions are explicit; no silent omissions.	
Reference contract	REF-06	25	1	Close the feature-to-task coverage matrix	Every verified reference entry has exactly one owning task or explicit scope exception; unresolved evidence remains visible.	REF-01,REF-02,REF-03,REF-04,REF-05
Shared simulation and persistence	SIM-01	50	2	Unify entity identity and ownership references	Stable IDs distinguish species, nation, system, planet, colony, ship and item across all modes.	REF-05
Shared simulation and persistence	SIM-02	0	5	Create one authoritative personal ship record	Flight and strategy use the same location, equipment, hull, energy and orders; scene transitions never substitute another ship.	SIM-01
Shared simulation and persistence	SIM-03	0	3	Create one inventory and account ledger	All local/strategic inventory and Marks transactions address one authoritative ledger with separate owners and stores.	SIM-01
Shared simulation and persistence	SIM-04	25	3	Unify time and background simulation	Every colony, route, travel leg and timer advances once through the same fixed-tick clock and pause policy.	SIM-01
Shared simulation and persistence	SIM-05	25	3	Centralize validated commands	Player, AI and UI use commands that reject invalid actions atomically and emit clear failure reasons.	SIM-02,SIM-03,SIM-04
Shared simulation and persistence	SIM-06	25	2	Create a shared durable event stream	Events have stable IDs, actors, subjects, times and outcomes; consumers deduplicate across reloads.	SIM-01,SIM-04
Shared simulation and persistence	SIM-07	25	3	Unify versioned saves and migration	One snapshot restores the complete game; old local/strategic saves have an explicit migration or import decision.	SIM-02,SIM-03,SIM-04,SIM-06
Shared simulation and persistence	SIM-08	50	2	Separate deterministic random streams	Identical seed and commands reproduce gameplay; cosmetic randomness cannot change simulation outcomes.	SIM-04
Shared simulation and persistence	SIM-09	25	2	Define validated content schemas	Definitions for tools, species, goods, factions and events validate IDs, references, constraints and schema versions.	SIM-01
Shared simulation and persistence	SIM-10	0	2	Budget AI scheduling and explanations	Offscreen decisions run within bounded budgets and record reasons; no per-citizen or per-organism world simulation.	SIM-04,SIM-06
Galaxy and interstellar navigation	NAV-01	25	3	Generate connected sector and galaxy topology	Seeded systems, star classes, planetary orbits and special locations form a navigable persistent galaxy beyond the authored 12-node fixture.	SIM-08
Galaxy and interstellar navigation	NAV-02	0	3	Implement personal system-to-system travel	The actual ship traverses known/unknown systems and updates the authoritative location.	SIM-02,NAV-01
Galaxy and interstellar navigation	NAV-03	0	3	Implement system-to-planet transitions	Entering/leaving planets preserves ship state and uses system navigation instead of a local surface chart.	NAV-02,WRL-01
Galaxy and interstellar navigation	NAV-04	25	2	Enforce drive range and travel energy	Drive level, destination range and energy constrain travel; invalid travel spends nothing and recovery remains possible.	NAV-02,EQP-04
Galaxy and interstellar navigation	NAV-05	25	2	Persist exploration and knowledge fog	Visited, detected, surveyed and unknown knowledge are distinct and survive transitions/reloads.	SIM-06,NAV-01
Galaxy and interstellar navigation	NAV-06	25	2	Implement scanners and signal detection	Radar, planet scan and civilization detection reveal appropriate facts/signals without leaking unknown content.	NAV-05,WRL-07
Galaxy and interstellar navigation	NAV-07	0	2	Implement wormhole access and traversal	Appropriate equipment permits stable wormhole travel with correct endpoints, arrival and restrictions.	NAV-02,EQP-04
Galaxy and interstellar navigation	NAV-08	0	2	Implement core-region access constraints	Core geography, range constraints and hostile territory form a traversable strategic challenge.	NAV-01,NAV-04,EMP-07
Galaxy and interstellar navigation	NAV-09	0	1	Implement return-home travel capability	The return capability has explicit acquisition, cost/cooldown and safe authoritative arrival behavior.	NAV-03,EQP-01
Galaxy and interstellar navigation	NAV-10	25	2	Implement destination selection and route validation	Travel requests validate access, reach and destination existence; cancellation or interruption preserves location correctly.	NAV-02,SIM-05
Local flight and input	FLT-01	50	2	Finish direct ship steering	Arrows/numpad and mouse-supported steering work predictably on all local planet/orbit scenes.	SIM-02
Local flight and input	FLT-02	50	2	Finish altitude and zoom interaction	Zoom, ascent and descent have understandable scale transitions and cancellation across supported planets.	NAV-03
Local flight and input	FLT-03	50	2	Finish camera framing and rotation	Near/far views, free rotation and target framing remain useful without clipping or abrupt jumps.	FLT-02
Local flight and input	FLT-04	50	2	Unify approach, stop and operation orders	Manual steering, new targets, stop and cancellation resolve one active order without stale operations.	SIM-05
Local flight and input	FLT-05	25	3	Handle collision and terrain clearance	Ship movement and approach avoid terrain/planet intersections and unreachable target traps at all scales.	WRL-02,FLT-04
Local flight and input	FLT-06	50	2	Finish world targeting and tool application input	Selecting equipment never fires it; world/target clicks dispatch the correct command and invalid targets explain failure.	EQP-01,FLT-04
Local flight and input	FLT-07	25	2	Implement configurable bindings and pointer accessibility	Bindings persist and support left-handed pointer use without mandatory WASD/F; conflicts are detected.	SIM-07
Local flight and input	FLT-08	75	1	Preserve pause, focus and modal input semantics	Menus/inspection/focus loss block gameplay correctly and preserve prior pause/order state.	SIM-04
Planet geography and conditions	WRL-01	50	2	Persist reusable planet recipes	Seed, environment and geography version generate stable planets for all reference-frame views.	SIM-01,SIM-08
Planet geography and conditions	WRL-02	0	5	Generate visitable terrain from globe geography	Landing regions and visible globe features agree; terrain streams or uses bounded LOD without a single repeated arena.	WRL-01
Planet geography and conditions	WRL-03	50	2	Maintain geographic coordinates and anchored sites	Cities, resources and markers remain attached to the same planet coordinates during rotation and view changes.	WRL-01
Planet geography and conditions	WRL-04	25	2	Model physical planet conditions	Atmosphere, temperature and environmental hazards have deterministic values and actual gameplay effects.	WRL-01
Planet geography and conditions	WRL-05	25	2	Place resources, sites and discoveries spatially	Seeded placements respect world conditions and remain persistent and physically approachable.	WRL-02,SIM-09
Planet geography and conditions	WRL-06	0	2	Represent non-landable and special world types	Moons, unsuitable bodies and special planets have explicit behavior and navigable context; not every sphere pretends to be landable.	NAV-01,WRL-01
Planet geography and conditions	WRL-07	50	1	Expose measured planet information	Queries distinguish unknown from scanned geography, ownership, conditions and known sites.	NAV-05,WRL-04
Equipment, cargo and ship services	EQP-01	50	3	Generalize equipment command definitions	Every verified tool family binds to a real validated handler with targets, costs, cooldowns and view restrictions.	SIM-05,SIM-09,REF-01
Equipment, cargo and ship services	EQP-02	25	2	Track tool ownership and acquisition	Installed, owned, charged, passive and undiscovered equipment states are distinct; acquisition changes actual capabilities.	SIM-02,PRG-04
Equipment, cargo and ship services	EQP-03	25	3	Implement shared cargo capacity and stacks	Specimens, goods, artifacts and consumables have identity, count, capacity and provenance; remote stock is never cargo aboard.	SIM-03,SIM-09
Equipment, cargo and ship services	EQP-04	0	2	Apply passive ship upgrade tiers	Hull, energy, cargo, drive and other verified passive levels alter real limits and obey prerequisites.	EQP-02
Equipment, cargo and ship services	EQP-05	50	2	Integrate finite ship energy	Tools, defenses and travel consume one energy pool; no passive recharge or free transition refill.	SIM-02
